incident,law_sections
"A man hit his neighbor with a stick","IPC 323"
"Someone stole gold ornaments from a locked house at night","IPC 457, IPC 380"
"Dowry harassment by husband","IPC 498A"
"Rash driving that led to a fatal accident","IPC 304A"
"Threatening someone with harm","IPC 506"
"A husband beating his wife regularly","IPC 498A, IPC 323"
"Violent fight in a public place","IPC 147, IPC 149"
"Molestation of a woman","IPC 354"
"Creating fake documents","IPC 465"
"Child abuse in a school","POCSO Act"
"Attempt to murder with a knife","IPC 307"
"Cyberbullying through social media","IT Act Section 66A"
"Man stealing a mobile phone from store","IPC 379"
"Rioting in a village","IPC 147, IPC 148"
"Attempted suicide in public","IPC 309"
"Demanding bribe for government work","Prevention of Corruption Act"
"Rape case of minor girl","IPC 376, POCSO Act"
"Throwing acid on a girl","IPC 326A"
"Cheating in bank loan applications","IPC 420"
"Harassment via email threats","IPC 507"
"A man was caught stealing a bike","IPC 379"
"A woman involved in theft at a college","IPC 420"
"A teenager accused of domestic violence","IPC 498A"
"Online fraud case filed against a shopkeeper","IT Act Section 66A"
"Incident of cyberstalking reported in a hospital","IPC 507"
"A student was caught hacking a website","IT Act Section 66A"
"A politician involved in bribery at Delhi","Prevention of Corruption Act"
"A man accused of assault","IPC 323"
"Domestic violence case filed against a government officer","IPC 498A"
"Incident of online fraud reported in a police station","IPC 420"
"A shopkeeper was caught harassing a coworker","IPC 354"
"A student involved in theft at a market","IPC 379"
"A woman accused of online fraud","IPC 420"
"Cyberstalking case filed against a man","IPC 507"
"Incident of bribery reported in a college","Prevention of Corruption Act"
"A government officer was caught creating fake ID","IPC 465"
"A teenager involved in murder attempt at Delhi","IPC 307"
"A student accused of hacking a website","IT Act Section 66A"
"A politician was caught stealing a bike","IPC 379"
"A woman involved in domestic violence at a hospital","IPC 498A"
"A shopkeeper accused of assault","IPC 323"
"Assault case filed against a man","IPC 323"
"A man was caught harassing a coworker","IPC 354"
"A teenager involved in bribery at a railway station","Prevention of Corruption Act"
"A politician accused of cyberstalking","IPC 507"
"A woman was caught creating fake ID","IPC 465"
"A government officer involved in theft at a police station","IPC 379"
"A student accused of bribery","Prevention of Corruption Act"
"Incident of domestic violence reported in a hospital","IPC 498A"
"A shopkeeper was caught hacking a website","IT Act Section 66A"
"A teenager involved in online fraud at a college","IPC 420"
"A student accused of assault","IPC 323"
"A woman was caught stealing a bike","IPC 379"
"A government officer involved in murder attempt at Delhi","IPC 307"
"Incident of cyberstalking reported in a college","IPC 507"
"A student involved in bribery at a railway station","Prevention of Corruption Act"
"A shopkeeper accused of online fraud","IPC 420"
"Cyberstalking case filed against a teenager","IPC 507"
"Incident of bribery reported in a hospital","Prevention of Corruption Act"
"A politician was caught creating fake ID","IPC 465"
"A woman involved in theft at a market","IPC 379"
"A government officer accused of domestic violence","IPC 498A"
"A man involved in murder attempt at a college","IPC 307"
"Incident of online fraud reported in a market","IPC 420"
"A teenager was caught harassing a coworker","IPC 354"
"A student involved in cyberstalking at a hospital","IPC 507"
"A shopkeeper accused of creating fake ID","IPC 465"
"A woman was caught hacking a website","IT Act Section 66A"
"A politician involved in bribery at a police station","Prevention of Corruption Act"
"Assault case filed against a government officer","IPC 323"
"A student was caught stealing a bike","IPC 379"
"A man involved in theft at a market","IPC 379"
"A shopkeeper accused of bribery","Prevention of Corruption Act"
"Online fraud case filed against a politician","IPC 420"
"Incident of cyberstalking reported in a police station","IPC 507"
"A student was caught creating fake ID","IPC 465"
"A woman involved in assault at a college","IPC 323"
"A government officer accused of online fraud","IPC 420"
"Cyberstalking case filed against a shopkeeper","IPC 507"
"Incident of bribery reported in a railway station","Prevention of Corruption Act"
"A man was caught hacking a website","IT Act Section 66A"
"A teenager involved in theft at a college","IPC 379"
"A student accused of domestic violence","IPC 498A"
"A politician was caught harassing a coworker","IPC 354"
"A woman involved in cyberstalking at a hospital","IPC 507"
"A shopkeeper accused of assault","IPC 323"
"A government officer was caught stealing a bike","IPC 379"
"A teenager involved in bribery at a college","Prevention of Corruption Act"
"A student accused of creating fake ID","IPC 465"
"Assault case filed against a teenager","IPC 323"
"A man was caught harassing a coworker","IPC 354"
"A shopkeeper involved in murder attempt at a hospital","IPC 307"
"A student accused of cyberstalking","IPC 507"
"A woman was caught stealing a bike","IPC 379"
"A politician involved in bribery at a market","Prevention of Corruption Act"
"A teenager accused of online fraud","IPC 420"
"Online fraud case filed against a student","IPC 420"
"Incident of cyberstalking reported in Delhi","IPC 507"
"A woman was caught creating fake ID","IPC 465"
"A man involved in theft at a hospital","IPC 379"
"A student accused of bribery","Prevention of Corruption Act"
"Incident of domestic violence reported in a market","IPC 498A"
"A politician was caught hacking a website","IT Act Section 66A"
"A government officer involved in online fraud at a college","IPC 420"
"Cyberstalking case filed against a student","IPC 507"
"Incident of bribery reported in a college","Prevention of Corruption Act"
